dataset,method,fit_seconds,param_n_clusters,n_clusters_found,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,param_eps,param_min_samples,param_min_cluster_size,param_n_components,param_affinity
mall_customers,KMeans++,0.00865535601042211,6.0,6,0.0,0.42841677628925934,0.8253539040983219,135.10210365783408,,,,,
mall_customers,DBSCAN,0.0008851750171743333,,5,0.175,0.19573248502724855,1.109133582834609,30.88570918676612,0.5998282304001243,6.0,,,
mall_customers,HDBSCAN,0.0016592320171184838,,6,0.375,0.5569074057684305,0.6148315043972488,195.6900735583492,,,5.0,,
mall_customers,GMM,0.00845889002084732,,6,0.0,0.3999977925024676,0.8926559514120976,113.69856507397272,,,,6.0,
mall_customers,Spectral Clustering,0.012686065980233252,6.0,6,0.0,0.4191768676715067,0.817125430451011,125.38144362831471,,,,,rbf
