dataset,method,fit_seconds,param_n_clusters,n_clusters_found,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,adjusted_rand_index,normalized_mutual_info,adjusted_mutual_info,fowlkes_mallows,param_eps,param_min_samples,param_min_cluster_size,param_n_components,param_affinity
wine,KMeans++,0.02331920200958848,3.0,3,0.0,0.2848589191898987,1.3891879777181646,70.9400080031512,0.8974949815093207,0.8758935341223069,0.8745794404379259,0.9319080608075307,,,,,
wine,DBSCAN,0.0013577939826063812,,2,0.6460674157303371,0.4227574868580171,0.9161556618871473,53.19426465945906,0.3058011372003105,0.475610702732178,0.46926566575523493,0.5937458189304907,2.0826896952357203,10.0,,,
wine,HDBSCAN,0.0016710350173525512,,2,0.38764044943820225,0.3594088705927583,1.0528375308753084,60.978669052963525,0.2629705784841301,0.35965643657397905,0.35261618061069067,0.5258184006659906,,,8.0,,
wine,GMM,0.030833830998744816,,3,0.0,0.2848589191898987,1.3891879777181646,70.9400080031512,0.8974949815093207,0.8758935341223069,0.8745794404379259,0.9319080608075307,,,,3.0,
wine,Spectral Clustering,0.08303730003535748,3.0,3,0.0,0.24855292006311666,1.2712824811975638,36.86644390660434,0.4445688663091482,0.5724649437429142,0.5661635485298402,0.6978817942295413,,,,,rbf
